"denpyou_kbn","setting_kbn","setting_item","default_value","hyouji_flg","shiwake_pattern_var1","shiwake_pattern_var2","shiwake_pattern_var3","shiwake_pattern_var4","shiwake_pattern_var5"
"A001","1","DEFAULT_HYOUJI","1","1","","","","",""
"A001","1","KAKE","","0","","","","",""
"A001","1","KOUSAIHI","","1","","","","",""
"A001","1","SHAIN","","1","","","","",""
"A001","2","BUMON","<FUTAN>","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A001","2","KAMOKU","","1","","","","",""
"A001","2","KAMOKUEDABAN","","1","<EDABAN>","","","",""
"A001","2","KAZEIKBN","001","1","","","","",""
"A001","2","SETSUMEI","-","1","","","","",""
"A001","2","TORIHIKI","","1","<TORIHIKI>","","","",""
"A001","2","PROJECT","","1","<PROJECT>","","","",""
"A001","3","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A001","3","KAMOKU","","1","","","","",""
"A001","3","KAMOKUEDABAN","","1","","","","",""
"A001","3","KAZEIKBN","","1","","","","",""
"A001","3","SETSUMEI","êUçû","1","","","","",""
"A001","3","TORIHIKI","","1","<TORIHIKI>","","","",""
"A001","3","PROJECT","","0","","","","",""
"A001","4","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A001","4","KAMOKU","","1","","","","",""
"A001","4","KAMOKUEDABAN","","1","","","","",""
"A001","4","KAZEIKBN","","1","","","","",""
"A001","4","SETSUMEI","åªã‡","1","","","","",""
"A001","4","TORIHIKI","","1","<TORIHIKI>","","","",""
"A001","4","PROJECT","","0","","","","",""
"A001","5","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A001","5","KAMOKU","","1","","","","",""
"A001","5","KAMOKUEDABAN","","1","","","","",""
"A001","5","KAZEIKBN","","1","","","","",""
"A001","5","SETSUMEI","ñ¢ï•","1","","","","",""
"A001","5","TORIHIKI","","1","<TORIHIKI>","","","",""
"A001","5","PROJECT","","0","","","","",""
"A001","6","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A001","6","KAMOKU","","1","","","","",""
"A001","6","KAMOKUEDABAN","","1","","","","",""
"A001","6","KAZEIKBN","","1","","","","",""
"A001","6","SETSUMEI","ñ@êlÉJÅ[Éhï•","1","","","","",""
"A001","6","TORIHIKI","","1","<TORIHIKI>","","","",""
"A001","6","PROJECT","","0","","","","",""
"A002","1","DEFAULT_HYOUJI","1","1","","","","",""
"A002","1","KAKE","","0","","","","",""
"A002","1","KOUSAIHI","","0","","","","",""
"A002","1","SHAIN","","1","","","","",""
"A002","2","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A002","2","KAMOKU","","1","","","","",""
"A002","2","KAMOKUEDABAN","","1","<EDABAN>","","","",""
"A002","2","KAZEIKBN","","1","","","","",""
"A002","2","SETSUMEI","-","1","","","","",""
"A002","2","TORIHIKI","","0","","","","",""
"A002","2","PROJECT","","0","","","","",""
"A002","3","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A002","3","KAMOKU","","1","","","","",""
"A002","3","KAMOKUEDABAN","","1","","","","",""
"A002","3","KAZEIKBN","","1","","","","",""
"A002","3","SETSUMEI","êUçû","1","","","","",""
"A002","3","TORIHIKI","","0","","","","",""
"A002","3","PROJECT","","0","","","","",""
"A002","4","BUMON","","1","<FUTAN>","<DAIHYOUBUMON>","","",""
"A002","4","KAMOKU","","1","","","","",""
"A002","4","KAMOKUEDABAN","","1","","","","",""
"A002","4","KAZEIKBN","","1","","","","",""
"A002","4","SETSUMEI","åªã‡","1","","","","",""
"A002","4","TORIHIKI","","0","","","","",""
"A002","4","PROJECT","","0","","","","",""
"A002","5","BUMON","","0","","","","",""
"A002","5","KAMOKU","","0","","","","",""
"A002","5","KAMOKUEDABAN","","0","","","","",""
"A002","5","KAZEIKBN","","0","","","","",""
"A002","5","SETSUMEI","","0","","","","",""
